,Code,Description
396,19427,Aeronaves De Puerto Rico: XBQ
397,19428,Allstates Air Cargo Inc.: XBR
398,19429,Cam Air International Inc.: XAQ
399,19430,Purolator Sky Courier Inc.: XAZ
400,19431,Circle Airfreight Corp.: XBP
401,19432,Pacific Alaska Airlines Inc.: XBT
402,19433,Icb International Airlines: XBX
403,19434,Cohlmia Aviation: XAM
404,19435,Amerford Airways Inc.: XAE
405,19436,Astro-Wing Airlines Inc.: XAF
406,19437,Ball Brothers Inc.: XAG
407,19438,Burlington Northern Inc.: XAI
408,19439,Century Airlines Inc.: XAK
409,19440,Dallas Flight Center: XAO
410,19441,Jet Way Inc.: XAR
411,19442,Klondike Air Inc.: XAS
412,19443,Pat Air: XAY
413,19444,Phh Air Inc.: XBM
414,19445,Flight Line Inc.: XAU
415,19446,Viking International Airlines Inc.: CGL
416,19447,Capitol International Inc.: CL
417,19448,Air Caravane Inc.: AEQ
418,19449,Argo S. A.: AGQ
419,19450,Norontair: AIQ
420,19451,Alberta Northern Airlines: ALQ
421,19452,Aviacion Y Comercio S.A.: AO
422,19453,Air Bvi Limited: BLQ
423,19454,Spantax S. A.: BXQ
424,19455,Dan Air Services: DA
425,19456,Maersk Air I/S: DM
426,19457,Aerolineas Dominicanas S A: DOQ
427,19458,Caribwest Airways Ltd.: DQQ
428,19459,Execaire Aviation Ltd.: EBQ
429,19460,Aero Trades (Western) Ltd.: ERQ
430,19461,Fast Air Carrier Ltd. (1): FAQ
431,19462,Business Flights Ltd.: HIQ
432,19463,Tar Airlines: HRQ
433,19464,Transavia Holland B. V.: HVQ
434,19465,Iscargo Hf: ICQ
435,19466,Tradewinds Airways Ltd.: IKQ
436,19467,Aerlinte Eireann Teoranta: IN
437,19468,Iran National Airlines Corp: IR
438,19469,Inair: IXQ
439,19470,Allarco Developments Ltd.: JXQ
440,19471,Transmeridian Air Cargo Ltd.: KKQ
441,19472,Kelowna Flightcraft Air Cha: KWQ
442,19473,Liat (1974) Limited: LIQ
443,19474,Millardair Limited: MAQ
444,19475,Montana Austria Flugetrieb: MGQ
445,19476,P.N. Merpati Nusantara Air.: MZ
446,19477,North Cariboo Flying Serv.: NFQ
447,19478,Norcanair: NKQ
448,19479,Northward Airlines Ltd.: NN
449,19480,North Coast Air Services: NSQ
450,19481,National Aviation Consult.: NTQ
451,19482,Air Niugini: NUQ
452,19483,Nunasi-Central Airlines Ltd.: ONQ
453,19484,Ontario Worldair Limited: OWQ
454,19485,Pem-Air Limited: PD (1)
455,19486,Eastern Provincial Airways: PV
456,19487,Pacific Western Airlines: PW
457,19488,Inter-Quebec (Intair): QB
458,19489,Syrian Arab Airlines: RB
459,19490,Aerotransportes Entre Rios: RSQ
460,19491,Redcoat Air Cargo Limited: RY
461,19492,Skycharter (Malton) Ltd.: SJQ
462,19493,Superior Airways Limited: SSQ
463,19494,Belize Airways Limited: ST
464,19495,Skycraft Air Transport Inc.: STQ
465,19496,Trans-Mediterranean Airways: TLQ
466,19497,British Caribbean Airways: TXQ
467,19498,Air Manila Inc.: UMQ
468,19499,Avalon Aviation Ltd.: VOQ
469,19500,Wardair Canada Inc.: WDQ
470,19501,Gateway Aviation Limited: WGQ
471,19502,Windward Islands Airways: WM
472,19503,Nal Inc.: XBV
473,19504,Yellow Bird Air: YBQ
474,19505,Air Europe Limited: AE
475,19506,Intair: ND
476,19507,Yugoslav Airlines: JU
477,19508,Union De Transports Aeriens: UT
478,19509,Air Haiti S. A.: HJ
479,19510,Servicio Aereo De Honduras: SH
480,19511,Sterling Airways A/S: NBQ
481,19512,Aerolineas El Salvador S A: SZQ
482,19513,Transp. Aereos Bolivianos: BOQ
483,19514,Aeronaves Del Peru: ADQ
484,19515,Compania Dominicana De Avia: DO
485,19516,Nigeria Airways Ltd.: WT
486,19517,Lineas Aereas Paraguayas: PZ
487,19518,Lufthansa Cargo Airlines: GE
488,19519,Venezuelan International Airways: VA (1)
489,19520,Andes: ED
490,19521,Compan. De Aviacion Faucett: CF
491,19522,Aviateca: GU
492,19523,Canadian Airlines International Ltd.: CP (1)
493,19524,Guyana Airways Corporation: GY
494,19525,Seagreen Air Transport: ESQ
495,19526,Air Nauru: ON
496,19527,Aero Peru: PL
497,19528,Balair Ag: BBQ
498,19529,Sabena Belgian World Air.: SN (1)
499,19530,Air Afrique: RK
500,19531,Air Canada: AC
501,19532,Compagnie Natl Air France: AF
502,19533,National Aviation Company of India Limited d/b/a Air India: AI
503,19534,Aeromexico: AM
504,19535,Aerolineas Argentinas: AR
505,19536,Royal Air Maroc: AT
506,19537,Aerovias Nacl De Colombia: AV
507,19538,Finnair Oy: AY
508,19539,Compagnia Aerea Italiana: AZ
509,19540,British Airways Plc: BA
510,19541,British Midland Airways Ltd.: BD
511,19542,Caribbean Airlines Limited: BW
512,19543,Air China: CA
